Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
169,Quentin Grimes,"SG,SF",25.3,PHI,75,,,0.467,0.758,2.2,,14.6,4.3,3,1,0.3,1.9,0
170,Nikola Jovic,"PF,C",22.2,MIA,46,,,0.456,0.831,1.7,,10.7,3.9,2.8,0.8,0.3,1.3,0
171,Jonathan Kuminga,"SF,PF",22.9,GS,47,,,0.454,0.668,1,,15.3,4.6,2.2,0.8,0.4,1.5,0
172,Peyton Watson,"SF,PF",22.9,DEN,68,,,0.477,0.697,0.7,,8.1,3.4,1.4,0.7,1.4,0.8,0
173,Gradey Dick,"SG,SF",21.7,TOR,54,,,0.41,0.857,2.1,,14.4,3.6,1.8,0.9,0.2,1.5,0
174,D'Angelo Russell,PG,29.5,DAL,58,,,0.39,0.836,2,,12.6,2.8,5.1,1,0.4,1.9,0
175,Andrew Wiggins,"SF,PF",30.5,MIA,60,,,0.448,0.764,2.2,,18,4.5,2.6,1,0.8,1.7,0
176,Obi Toppin,PF,27.5,IND,79,,,0.529,0.785,1.4,,10.5,4,1.6,0.6,0.4,0.9,0
177,Draymond Green,"PF,C",35.5,GS,68,,,0.425,0.69,1.2,,9,6.1,5.6,1.5,1,2.6,0
277,Liam McNeeley,ALL,19.9,CHA,,,,,,,,,,,,,,1
179,Davion Mitchell,"PG,SG",26.9,MIA,74,,,0.468,0.684,1.1,,7.9,2.3,4.9,1,0.2,1.7,0
180,Rob Dillingham,PG,20.6,MIN,49,,,0.441,0.516,0.5,,4.5,1,2,0.4,0,1.1,0
181,Rui Hachimura,"SF,PF",27.5,LAL,59,,,0.509,0.766,1.7,,13.1,5,1.4,0.8,0.4,0.8,0
182,Max Christie,"SG,SF",22.5,DAL,78,,,0.427,0.856,1.5,,9.6,3.3,1.9,0.8,0.4,1.1,0
183,Mitchell Robinson,C,27.4,NY,17,,,0.663,0.679,0,,5.1,5.9,0.8,0.9,1.1,0.6,0
184,De'Andre Hunter,"SF,PF",27.7,CLE,64,,,0.469,0.846,2.5,,17,4,1.4,0.8,0.2,1.3,0
185,Ryan Dunn,"SF,PF",22.6,PHO,74,,,0.429,0.491,1.1,,6.9,3.6,0.8,0.6,0.5,0.5,0
